masterid,sampleid,sampledate,latitude,longitude,county,smcshed,csci
SMC03452,SMC03452_08152019_BMI_RWB_1,8/15/2019 0:00,34.30354,-117.8323,Los Angeles,San Gabriel,0.99089015
SMC01248,SMC01248_08082019_BMI_RWB_1,8/8/2019 0:00,34.25895,-117.74499,Los Angeles,San Gabriel,1.01837047
SMC00318,SMC00318_08072019_BMI_RWB_1,8/7/2019 0:00,33.81287,-118.20558,Los Angeles,Los Angeles,0.43852588
SMC00686,SMC00686_08072019_BMI_RWB_1,8/7/2019 0:00,34.0322,-117.83819,Los Angeles,San Gabriel,0.45053059
405CE0280,405CE0280_08052019_BMI_RWB_1,8/5/2019 0:00,34.23041,-117.74981,Los Angeles,San Gabriel,0.98666826
SMC01260,SMC01260_08052019_BMI_RWB_1,8/5/2019 0:00,34.06502,-117.97473,Los Angeles,San Gabriel,0.54741133
ME-VR2,ME-VR2_07312019_BMI_RWB_1,7/31/2019 0:00,34.34584,-119.29948,Ventura,Ventura,0.74031131
412S04204,SMC04204_07302019_BMI_RWB_1,7/30/2019 0:00,34.20358,-118.01853,Los Angeles,Los Angeles,0.93305283
408M03111,408M03111_07252019_BMI_RWB_1,7/25/2019 0:00,34.18105,-119.03278,Ventura,Calleguas,0.8310163
ME-CC,ME-CC_07252019_BMI_RWB_1,7/25/2019 0:00,34.17912,-119.03968,Ventura,Calleguas,0.54957169
408BA0836,SMC00836_07252019_BMI_RWB_1,7/25/2019 0:00,34.19071,-119.00511,Ventura,Calleguas,0.56419546
SMC03216,SMC03216_07242019_BMI_RWB_1,7/24/2019 0:00,34.28092,-117.84093,Los Angeles,San Gabriel,0.96234869
SMC03280,SMC03280_07242019_BMI_RWB_1,7/24/2019 0:00,34.25685,-117.85652,Los Angeles,San Gabriel,0.92323773
412WE0552,412WE0552_07232019_BMI_RWB_1,7/23/2019 0:00,34.23908,-118.18059,Los Angeles,Los Angeles,0.98967407
SMC00608,SMC00608_07222019_BMI_RWB_MCM_1,7/22/2019 0:00,34.12344,-117.90223,Los Angeles,San Gabriel,0.49789703
SMC12862,SMC12862_07222019_BMI_RWB_MCM_1,7/22/2019 0:00,33.92148,-118.11149,Los Angeles,San Gabriel,0.36548258
SMC20032,SMC20032_07222019_BMI_RWB_MCM_1,7/22/2019 0:00,33.87664,-118.10774,Los Angeles,San Gabriel,0.37837785
412M08646,412M08646_07162019_BMI_RWB_1,7/16/2019 0:00,34.1289,-118.08133,Los Angeles,Los Angeles,0.6284591
412M08647,412M08647_07162019_BMI_RWB_1,7/16/2019 0:00,34.27872,-118.30172,Los Angeles,Los Angeles,0.88337378
412CE0232,412CE0232_07152019_BMI_RWB_1,7/15/2019 0:00,34.15907,-118.45624,Los Angeles,Los Angeles,0.71065238
412M08645,412M08645_07152019_BMI_RWB_1,7/15/2019 0:00,34.28922,-118.50195,Los Angeles,Los Angeles,0.68225413
SMC01004,SMC01004_07152019_BMI_RWB_1,7/15/2019 0:00,34.15016,-118.16579,Los Angeles,Los Angeles,0.47982836
412M08599,412M08599_07112019_BMI_RWB_1,7/11/2019 0:00,34.10602,-118.24338,Los Angeles,Los Angeles,0.69628432
