date,growth.rate.per.day,sp.cond.uS.cm,pH,DO.mg.L,turbidity.NTU,water.temp.C,depth.cm,flow.cfs,Site
7/7/2011,0.2474,267.5835,9.25,10.9889,4.0208,25.8144,98.57,73486.7934,Lizzy Pond
7/15/2011,0.2182,286.444,7.44,0.7963,5.421,17.8412,93.08,58076.8263,Lizzy Pond
7/24/2011,0.2016,293.5167,8.53,8.3578,7.4645,21.2226,98.57,76440.8982,Lizzy Pond
8/2/2011,0.2089,287.6228,8.73,7.4714,6.859,18.3289,107.26,65192.4213,Lizzy Pond
8/10/2011,0.1127,313.556,8.39,9.2718,5.3832,11.7361,102.23,72053.059,Lizzy Pond
8/17/2011,0.1459,295.8742,8.44,9.798,4.7776,7.6349,101.77,58110.5068,Lizzy Pond
7/7/2011,3.82E-03,5.02E+02,7.22,5.311,2.2233,23.5579,137.45,78136.6914,Target Lake
7/14/2011,0.1697,484.4794,7.34,8.2469,5.7048,18.5112,114.12,64928.2931,Target Lake
7/24/2011,0.1724,559.9214,7.89,7.3606,2.4693,18.6537,159.41,77909.2466,Target Lake
8/2/2011,0.1558,456.1886,7.13,3.0952,2.0341,15.5782,145.23,78163.1895,Target Lake
8/10/2011,0.0848,479.7642,7.01,1.5718,2.9612,8.382,152.53,77437.192,Target Lake
8/21/2011,0.0131,500.9823,6.82,1.5718,1.5043,2.7218,99.49,55422.5184,Target Lake
