objectid,labid,sampleid,sampletype,sizefraction,particleid,morphology,color,photoid,chemicalid,polymerid,plastic,comments,length,width,timeimagesmeasurements,instrumenttype,microscopy,nilered,chemicalid_method
25738,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_1,Fiber,Gold,A_CW_1_Stereoscope_20-212_1,not measured,NA,NA,,1.89,0.034,6,Stereoscope,Y,NA,NA
25739,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_2,Fiber,Blue,A_CW_1_Stereoscope_20-212_2-3,not measured,NA,NA,,0.253,0.021,6,Stereoscope,Y,NA,NA
25740,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_3,Fragment,Green,A_CW_1_Stereoscope_20-212_2-3,not measured,NA,NA,,0.023,0.021,6,Stereoscope,Y,NA,NA
25741,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_4,Fragment,Red,A_CW_1_Stereoscope_20-212_4,not measured,NA,NA,,0.019,0.015,6,Stereoscope,Y,NA,NA
25742,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_5,Fragment,Red,A_CW_1_Stereoscope_20-212_5,not measured,NA,NA,,0.069,0.069,6,Stereoscope,Y,NA,NA
25743,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_6,Fiber,Blue,A_CW_1_Stereoscope_20-212_6,not measured,NA,NA,,1.515,0.009,6,Stereoscope,Y,NA,NA
25744,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_7,Fragment,Red,A_CW_1_Stereoscope_20-212_7,not measured,NA,NA,,0.056,0.025,6,Stereoscope,Y,NA,NA
25745,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_8,Fiber,Clear,A_CW_1_Stereoscope_20-212_8,not measured,NA,NA,,0.669,0.017,6,Stereoscope,Y,NA,NA
25746,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_9,Fiber,Clear,A_CW_1_Stereoscope_20-212_9-10,not measured,NA,NA,,0.25,0.009,6,Stereoscope,Y,NA,NA
25747,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_10,Fiber,Blue,A_CW_1_Stereoscope_20-212_9-10,not measured,NA,NA,,0.113,0.009,6,Stereoscope,Y,NA,NA
25748,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_11,Fragment,Red,A_CW_1_Stereoscope_20-212_11,not measured,NA,NA,,0.467,0.041,6,Stereoscope,Y,NA,NA
25749,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_12,Fiber,Clear,A_CW_1_Stereoscope_20-212_12-15,not measured,NA,NA,,1.17,0.017,6,Stereoscope,Y,NA,NA
25750,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_13,Fiber,Clear,A_CW_1_Stereoscope_20-212_12-15,not measured,NA,NA,,1.47,0.018,6,Stereoscope,Y,NA,NA
25751,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_14,Fiber,Clear,A_CW_1_Stereoscope_20-212_12-15,not measured,NA,NA,,1.7,0.031,6,Stereoscope,Y,NA,NA
25752,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_15,Fiber,Clear,A_CW_1_Stereoscope_20-212_12-15,not measured,NA,NA,,0.92,0.02,6,Stereoscope,Y,NA,NA
25753,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_16,Fiber,Clear,A_CW_1_Stereoscope_20-212_16,not measured,NA,NA,,0.51,0.05,6,Stereoscope,Y,NA,NA
25754,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_17,Fiber,Blue,A_CW_1_Stereoscope_20-212_17-18,not measured,NA,NA,"Blue fiber fragment short Probably not plastic - broke into three pieces on pressure, red mineral?; non-plastic",0.068,0.01,6,Stereoscope,Y,NA,NA
25755,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_18,Fragment,Red,A_CW_1_Stereoscope_20-212_17-18,not measured,NA,NA,"Blue fiber fragment short Probably not plastic - broke into three pieces on pressure, red mineral?; non-plastic",0.037,0.035,6,Stereoscope,Y,NA,NA
25756,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_19,Foam,White,A_CW_1_Stereoscope_20-212_19,not measured,NA,NA,,0.111,0.088,6,Stereoscope,Y,NA,NA
25757,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_20,Fiber,Red,A_CW_1_Stereoscope_20-212_20,not measured,NA,NA,,1.612,0.015,6,Stereoscope,Y,NA,NA
25758,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_21,Fiber,Green,A_CW_1_Stereoscope_20-212_21,not measured,NA,NA,Not plastic broke on pressure; non-plastic,0.669,0.036,6,Stereoscope,Y,NA,NA
25759,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_22,Fiber,Red,A_CW_1_Stereoscope_20-212_22-23,not measured,NA,NA,,0.746,0.017,6,Stereoscope,Y,NA,NA
25760,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_23,Fiber,Black,A_CW_1_Stereoscope_20-212_22-23,not measured,NA,NA,,0.76,0.018,6,Stereoscope,Y,NA,NA
25761,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_24,Fiber,Blue,A_CW_1_Stereoscope_20-212_24,not measured,NA,NA,,0.093,0.017,6,Stereoscope,Y,NA,NA
25762,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_25,Fiber,Black,A_CW_1_Stereoscope_20-212_25-26,not measured,NA,NA,,1.735,0.017,6,Stereoscope,Y,NA,NA
25763,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_26,Fiber,Black,A_CW_1_Stereoscope_20-212_25-26,not measured,NA,NA,,1.961,0.013,6,Stereoscope,Y,NA,NA
25764,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_27,Fiber,Blue,A_CW_1_Stereoscope_20-212_27,not measured,NA,NA,,1.21,0.01,6,Stereoscope,Y,NA,NA
25765,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_28,Fiber,Red,A_CW_1_Stereoscope_20-212_28,not measured,NA,NA,,0.87,0.019,6,Stereoscope,Y,NA,NA
25766,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_29,Fiber,Red,A_CW_1_Stereoscope_20-212_29,not measured,NA,NA,,1.5,0.019,6,Stereoscope,Y,NA,NA
25767,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_30,Fragment,Red,A_CW_1_Stereoscope_20-212_30,not measured,NA,NA,,0.73,0.014,6,Stereoscope,Y,NA,NA
25768,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_31,Fiber,Gold,A_CW_1_Stereoscope_20-212_31,not measured,NA,NA,,1.47,0.018,6,Stereoscope,Y,NA,NA
25769,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_32,Fiber,Red,A_CW_1_Stereoscope_20-212_32-33,not measured,NA,NA,,0.27,0.022,6,Stereoscope,Y,NA,NA
25770,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_33,Fiber,Blue,A_CW_1_Stereoscope_20-212_32-33,not measured,NA,NA,,0.12,0.026,6,Stereoscope,Y,NA,NA
25771,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_34,Fiber,Black,A_CW_1_Stereoscope_20-212_34,not measured,NA,NA,,1,0.03,6,Stereoscope,Y,NA,NA
25772,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_35,Fiber,Black,A_CW_1_Stereoscope_20-212_35,not measured,NA,NA,,0.38,0.011,6,Stereoscope,Y,NA,NA
25773,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_36,Fiber,Black,A_CW_1_Stereoscope_20-212_36,not measured,NA,NA,,5.53,0.009,6,Stereoscope,Y,NA,NA
25774,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_37,Fiber,Blue,A_CW_1_Stereoscope_20-212_37,not measured,NA,NA,,2.15,0.008,6,Stereoscope,Y,NA,NA
25775,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_38,Fiber,Red,A_CW_1_Stereoscope_20-212_38,not measured,NA,NA,,3.65,0.006,6,Stereoscope,Y,NA,NA
25776,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_39,Fiber,Clear,A_CW_1_Stereoscope_20-212_39,not measured,NA,NA,,2.43,0.019,6,Stereoscope,Y,NA,NA
25777,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_40,Fragment,Red,A_CW_1_Stereoscope_20-212_40,not measured,NA,NA,,0.078,0.016,6,Stereoscope,Y,NA,NA
25778,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_41,Sphere,White,A_CW_1_Stereoscope_20-212_41-43,not measured,NA,NA,,0.424,0.448,6,Stereoscope,Y,NA,NA
25779,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_42,Sphere,White,A_CW_1_Stereoscope_20-212_41-43,not measured,NA,NA,,0.478,0.457,6,Stereoscope,Y,NA,NA
25780,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_43,Sphere,White,A_CW_1_Stereoscope_20-212_41-43,not measured,NA,NA,,0.44,0.439,6,Stereoscope,Y,NA,NA
25781,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_44,Fiber,Black,A_CW_1_Stereoscope_20-212_44,not measured,NA,NA,,2.43,0.013,6,Stereoscope,Y,NA,NA
25782,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_45,Fiber,Black,A_CW_1_Stereoscope_20-212_45,not measured,NA,NA,,5,0.023,6,Stereoscope,Y,NA,NA
25783,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_46,Fiber,Red,A_CW_1_Stereoscope_20-212_46,not measured,NA,NA,,0.46,0.024,6,Stereoscope,Y,NA,NA
25784,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_47,Fiber,Black,A_CW_1_Stereoscope_20-212_47,not measured,NA,NA,,0.79,0.01,6,Stereoscope,Y,NA,NA
25785,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_48,Sphere,White,A_CW_1_Stereoscope_20-212_48,not measured,NA,NA,,0.142,0.139,6,Stereoscope,Y,NA,NA
25786,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_49,Sphere,White,A_CW_1_Stereoscope_20-212_49,not measured,NA,NA,,0.445,0.434,6,Stereoscope,Y,NA,NA
25787,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_50,Fiber,Black,A_CW_1_Stereoscope_20-212_50,not measured,NA,NA,,0.472,0.015,6,Stereoscope,Y,NA,NA
25788,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_51,Fiber,Red,A_CW_1_Stereoscope_20-212_51,not measured,NA,NA,,0.236,0.014,6,Stereoscope,Y,NA,NA
25789,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_52,Fiber,Blue,A_CW_1_Stereoscope_20-212_52,not measured,NA,NA,,1.377,0.015,6,Stereoscope,Y,NA,NA
25790,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_53,Fiber,Red,A_CW_1_Stereoscope_20-212_53-54,not measured,NA,NA,,0.86,0.016,6,Stereoscope,Y,NA,NA
25791,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_54,Fiber,Brown,A_CW_1_Stereoscope_20-212_53-54,not measured,NA,NA,biological; non-plastic,1.08,0.015,6,Stereoscope,Y,NA,NA
25792,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_55,Fiber,Red,A_CW_1_Stereoscope_20-212_55-56,not measured,NA,NA,,0.68,0.031,6,Stereoscope,Y,NA,NA
25793,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_56,Fiber,Blue,A_CW_1_Stereoscope_20-212_55-56,not measured,NA,NA,,0.64,0.012,6,Stereoscope,Y,NA,NA
25794,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_57,Fiber,Red,A_CW_1_Stereoscope_20-212_57,not measured,NA,NA,,0.269,0.024,6,Stereoscope,Y,NA,NA
25795,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_58,Fiber,Blue,A_CW_1_Stereoscope_20-212_58,not measured,NA,NA,,0.275,0.009,6,Stereoscope,Y,NA,NA
25796,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_59,Fiber,Red,A_CW_1_Stereoscope_20-212_59-60,not measured,NA,NA,,0.14,0.014,6,Stereoscope,Y,NA,NA
25797,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_60,Fiber,Purple,A_CW_1_Stereoscope_20-212_59-60,not measured,NA,NA,,2.13,0.019,6,Stereoscope,Y,NA,NA
25798,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_61,Fiber,Black,A_CW_1_Stereoscope_20-212_61,not measured,NA,NA,,1.81,0.007,6,Stereoscope,Y,NA,NA
25799,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_62,Fiber,Red,A_CW_1_Stereoscope_20-212_62-64,not measured,NA,NA,,0.433,0.017,6,Stereoscope,Y,NA,NA
25800,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_63,Fiber,Black,A_CW_1_Stereoscope_20-212_62-64,not measured,NA,NA,,0.616,0.019,6,Stereoscope,Y,NA,NA
25801,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_64,Fiber,Black,A_CW_1_Stereoscope_20-212_62-64,not measured,NA,NA,,0.249,0.009,6,Stereoscope,Y,NA,NA
25802,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_65,Fiber,Blue,A_CW_1_Stereoscope_20-212_65,not measured,NA,NA,,0.237,0.008,6,Stereoscope,Y,NA,NA
25803,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_66,Fiber,Red,A_CW_1_Stereoscope_20-212_66,not measured,NA,NA,,0.255,0.015,6,Stereoscope,Y,NA,NA
25804,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_67,Fiber,Red,A_CW_1_Stereoscope_20-212_67-68,not measured,NA,NA,,0.288,0.015,6,Stereoscope,Y,NA,NA
