state,region_us_census,rank,costume,candy,pounds_candy_sold
Alaska,West,first,Ninja,Twix,5002
Alaska,West,second,Monster,Blow Pops,4278
Alaska,West,third,Wonder Woman,Milky Way,4082
Alabama,South,first,Wonder Woman,Hershey's Mini Bars,49755
Alabama,South,second,Harley Quinn,Candy Corn,47882
Alabama,South,third,Mouse,Tootsie Pops,39822
Arkansas,South,first,Clown,Skittles,203647
Arkansas,South,second,Harley Quinn,Jolly Ranchers,189462
Arkansas,South,third,Unicorn,Butterfinger,76353
Arizona,West,first,Wonder Woman,Hot Tamales,750322
Arizona,West,second,Clown,Snickers,741779
Arizona,West,third,Moana,Hershey Kisses,611877
California,West,first,Wonder Woman,Skittles,1574770
California,West,second,Clown,M&M's,1188726
California,West,third,Unicorn,Reese's Cups,977453
Colorado,West,first,Wonder Woman,Twix,123646
Colorado,West,second,Harley Quinn,Hershey Kisses,108326
Colorado,West,third,Rabbit,Milky Way,89273
Connecticut,Northeast,first,Wonder Woman,Milky Way,2893
Connecticut,Northeast,second,Rabbit,Almond Joy,2087
Connecticut,Northeast,third,Witch,M&M's,1287
District of Columbia,South,first,Harley Quinn,Tootsie Pops,25643
District of Columbia,South,second,Wonder Woman,M&M's,21392
District of Columbia,South,third,Zombie,Blow Pops,19827
Delaware,South,first,IT,Skittles,21336
Delaware,South,second,Harley Quinn,Candy Corn,16703
Delaware,South,third,Monster,Life Savers,11987
Florida,South,first,Wonder Woman,Skittles,563882
Florida,South,second,Harley Quinn,Snickers,532998
Florida,South,third,Moana,Reese's Cups,403785
Georgia,South,first,Harley Quinn,Jolly Ranchers,142876
Georgia,South,second,Wonder Woman,Swedish Fish,123827
Georgia,South,third,Clown,Hershey Kisses,60728
Hawaii,West,first,Wonder Woman,Skittles,27641
Hawaii,West,second,Doll,Hershey's Mini Bars,24567
Hawaii,West,third,Dinosaur,Butterfinger,19274
Iowa,Midwest,first,Wonder Woman,Candy Corn,63472
Iowa,Midwest,second,Clown,M&M's,51987
Iowa,Midwest,third,Harley Quinn,Reese's Cups,32872
Idaho,West,first,Rabbit,Candy Corn,86352
Idaho,West,second,Wonder Woman,Starburst,67929
Idaho,West,third,Dinosaur,Snickers,42883
Illinois,Midwest,first,Wonder Woman,Kit Kat,172663
Illinois,Midwest,second,Harley Quinn,Sour Patch Kids,136257
Illinois,Midwest,third,Clown,Snickers,102364
Indiana,Midwest,first,Dinosaur,Hot Tamales,98275
Indiana,Midwest,second,Harley Quinn,Starburst,83620
Indiana,Midwest,third,Clown,Jolly Ranchers,67291
Kansas,Midwest,first,Wonder Woman,Reese's Cups,248726
Kansas,Midwest,second,Clown,M&M's,212884
Kansas,Midwest,third,Harley Quinn,Snickers,187363
Kentucky,South,first,Clown,Swedish Fish,78262
Kentucky,South,second,Wonder Woman,Tootsie Pops,60917
Kentucky,South,third,Harley Quinn,Reese's Cups,32878
Louisiana,South,first,Wonder Woman,Lemonheads,112883
Louisiana,South,second,Witch,Reese's Cups,98273
Louisiana,South,third,Harley Quinn,Blow Pops,76239
Massachusetts,Northeast,first,Wonder Woman,Butterfinger,69223
Massachusetts,Northeast,second,Rabbit,Sour Patch Kids,63728
Massachusetts,Northeast,third,Unicorn,Dubble Bubble Gum,47626
Maryland,South,first,Wonder Woman,Reese's Cups,38726
Maryland,South,second,Harley Quinn,Milky Way,30287
Maryland,South,third,Unicorn,Hershey Kisses,20188
Maine,Northeast,first,Superhero,Sour Patch Kids,59873
Maine,Northeast,second,Witch,Starburst,51899
Maine,Northeast,third,Batman,M&M's,32747
Michigan,Midwest,first,Wonder Woman,Starburst,114879
Michigan,Midwest,second,Harley Quinn,Candy Corn,106295
Michigan,Midwest,third,Clown,Skittles,86221
Minnesota,Midwest,first,Zombie,Skittles,191826
Minnesota,Midwest,second,Harley Quinn,Tootsie Pops,176038
Minnesota,Midwest,third,Unicorn,Candy Corn,118745
Missouri,Midwest,first,Clown,Milky Way,44327
Missouri,Midwest,second,Wonder Woman,Dubble Bubble Gum,35664
